dataset,model,best_ngram,cv_f1_macro,test_acc,test_macro_f1,test_weighted_f1,test_macro_prec,test_macro_rec,seconds
ben_sarc_binary,LogisticRegression,unigram,0.6375,0.6504,0.6504,0.6504,0.6505,0.6504,3.9
ben_sarc_binary,DecisionTree,unigram,0.5754,0.5837,0.5837,0.5837,0.5837,0.5837,2.6
ben_sarc_binary,RandomForest,trigram,0.6138,0.6508,0.6508,0.6508,0.6508,0.6508,34.5
ben_sarc_binary,MultinomialNB,trigram,0.64,0.6602,0.6602,0.6602,0.6602,0.6602,0.8
ben_sarc_binary,KNN,unigram,0.5229,0.5603,0.5601,0.5601,0.5604,0.5603,1.2
ben_sarc_binary,LinearSVM,unigram,0.6264,0.6465,0.6465,0.6465,0.6466,0.6465,0.5
ben_sarc_binary,KernelSVM,unigram,0.6418,0.6586,0.6586,0.6586,0.6586,0.6586,35.7
banglasarc_binary,LogisticRegression,trigram,0.8664,0.8987,0.8867,0.8972,0.9003,0.8771,0.3
banglasarc_binary,DecisionTree,unigram,0.7881,0.8297,0.8173,0.8309,0.8136,0.8221,0.5
banglasarc_binary,RandomForest,unigram,0.857,0.8793,0.8672,0.8786,0.8718,0.8633,4.1
banglasarc_binary,MultinomialNB,bigram,0.8633,0.9009,0.8886,0.8991,0.9052,0.8775,0.2
banglasarc_binary,KNN,unigram,0.5382,0.6767,0.5075,0.5896,0.7383,0.5549,0.3
banglasarc_binary,LinearSVM,trigram,0.8743,0.8987,0.889,0.8984,0.8919,0.8865,0.3
banglasarc_binary,KernelSVM,trigram,0.8822,0.9095,0.8998,0.9087,0.9078,0.8935,2.5
banglasarc3_binary,LogisticRegression,bigram,0.6606,0.7016,0.7016,0.7016,0.7017,0.7016,0.4
banglasarc3_binary,DecisionTree,unigram,0.5946,0.5917,0.5916,0.5916,0.5917,0.5917,0.9
banglasarc3_binary,RandomForest,unigram,0.6567,0.6523,0.6522,0.6522,0.6526,0.6524,8.8
banglasarc3_binary,MultinomialNB,trigram,0.6464,0.6941,0.6936,0.6936,0.6952,0.694,0.5
banglasarc3_binary,KNN,unigram,0.5219,0.5765,0.5704,0.5704,0.5813,0.5766,0.5
banglasarc3_binary,LinearSVM,unigram,0.6476,0.6852,0.6852,0.6852,0.6852,0.6852,0.3
banglasarc3_binary,KernelSVM,trigram,0.66,0.7016,0.7016,0.7016,0.7018,0.7017,6.2
banglasarc3_ternary,LogisticRegression,trigram,0.4995,0.5319,0.5311,0.5312,0.5308,0.5317,0.7
banglasarc3_ternary,DecisionTree,unigram,0.415,0.4203,0.4203,0.4204,0.4209,0.4203,1.4
banglasarc3_ternary,RandomForest,unigram,0.4906,0.5193,0.5107,0.5108,0.5127,0.5192,12.3
banglasarc3_ternary,MultinomialNB,unigram,0.4996,0.5285,0.5277,0.5278,0.5274,0.5284,0.3
banglasarc3_ternary,KNN,unigram,0.3189,0.3716,0.3407,0.3398,0.3696,0.3729,0.6
banglasarc3_ternary,LinearSVM,unigram,0.4887,0.5352,0.533,0.5331,0.5325,0.5353,0.4
banglasarc3_ternary,KernelSVM,unigram,0.5048,0.5529,0.5505,0.5504,0.5509,0.5531,10.2
