system,source,target,seed,n_fixed,transfer_macro_f1,target_trained_macro_f1,paired_loss,retention
fgm,ben_sarc_binary,banglasarc_binary,42,436,0.651825253670332,0.9781376924234068,0.3263124387530748,0.666394167937019
fgm,ben_sarc_binary,banglasarc_binary,1,436,0.5941239243466612,0.9829564809488973,0.38883255660223615,0.6044254612097613
fgm,ben_sarc_binary,banglasarc_binary,7,436,0.5830980784992259,0.9829564809488973,0.3998584024496714,0.593208437810321
fgm,ben_sarc_binary,banglasarc_binary,123,436,0.5876678645734822,0.9828746177370031,0.39520675316352094,0.5979072548709666
fgm,ben_sarc_binary,banglasarc_binary,2024,436,0.5484311371607467,0.9779816513761468,0.42955051421540014,0.5607785548829398
fgm,ben_sarc_binary,banglasarc3_binary,42,762,0.6548502932134646,0.7631498064711062,0.10829951325764164,0.8580887889385294
fgm,ben_sarc_binary,banglasarc3_binary,1,762,0.649165826026228,0.7701317842151987,0.12096595818897071,0.8429282355717329
fgm,ben_sarc_binary,banglasarc3_binary,7,762,0.6441357061985273,0.7519168060524734,0.10778109985394602,0.8566582114053395
fgm,ben_sarc_binary,banglasarc3_binary,123,762,0.6522255806143274,0.7489282935673462,0.0967027129530188,0.8708785423336086
fgm,ben_sarc_binary,banglasarc3_binary,2024,762,0.6349191029980491,0.7702743442870064,0.13535524128895726,0.8242765810741796
fgm,banglasarc_binary,ben_sarc_binary,42,2563,0.349436832216803,0.7993401010898598,0.44990326887305676,0.4371566392582626
fgm,banglasarc_binary,ben_sarc_binary,1,2563,0.3418673206772885,0.8033099005884783,0.4614425799111898,0.4255733938133313
fgm,banglasarc_binary,ben_sarc_binary,7,2563,0.351595164227209,0.794728972531823,0.44313380830461396,0.44240889206179057
fgm,banglasarc_binary,ben_sarc_binary,123,2563,0.3454973131070887,0.7993166252315491,0.4538193121244604,0.4322408695140098
fgm,banglasarc_binary,ben_sarc_binary,2024,2563,0.34168467041144557,0.7952940301383026,0.453609359726857,0.4296331387675904
fgm,banglasarc_binary,banglasarc3_binary,42,762,0.3392115976566379,0.7631498064711062,0.4239382088144683,0.4444888733251364
fgm,banglasarc_binary,banglasarc3_binary,1,762,0.33408728730787024,0.7701317842151987,0.43604449690732844,0.4338053488447062
fgm,banglasarc_binary,banglasarc3_binary,7,762,0.3316130866067245,0.7519168060524734,0.42030371944574885,0.4410236397663155
fgm,banglasarc_binary,banglasarc3_binary,123,762,0.33687085516391907,0.7489282935673462,0.4120574384034272,0.44980388383955006
fgm,banglasarc_binary,banglasarc3_binary,2024,762,0.32848381563162204,0.7702743442870064,0.4417905286553843,0.4264504173972956
fgm,banglasarc3_binary,ben_sarc_binary,42,2563,0.6715615579090033,0.7993401010898598,0.12777854318085646,0.8401449608162572
fgm,banglasarc3_binary,ben_sarc_binary,1,2563,0.6733434632594297,0.8033099005884783,0.12996643732904856,0.838211333840353
fgm,banglasarc3_binary,ben_sarc_binary,7,2563,0.6752562488898105,0.794728972531823,0.11947272364201245,0.8496685942360954
fgm,banglasarc3_binary,ben_sarc_binary,123,2563,0.6624206201886614,0.7993166252315491,0.13689600504288768,0.8287336948568647
fgm,banglasarc3_binary,ben_sarc_binary,2024,2563,0.667260931734486,0.7952940301383026,0.1280330984038166,0.8390116189083533
fgm,banglasarc3_binary,banglasarc_binary,42,436,0.6000106058597375,0.9781376924234068,0.3781270865636692,0.613421413475201
fgm,banglasarc3_binary,banglasarc_binary,1,436,0.6489476101699495,0.9829564809488973,0.3340088707789478,0.6601997369644359
fgm,banglasarc3_binary,banglasarc_binary,7,436,0.6698970321017566,0.9829564809488973,0.31305944884714076,0.6815124017037573
fgm,banglasarc3_binary,banglasarc_binary,123,436,0.5544077891821798,0.9828746177370031,0.4284668285548233,0.5640676635425413
fgm,banglasarc3_binary,banglasarc_binary,2024,436,0.6457588560285993,0.9779816513761468,0.3322227953475475,0.6602975169523201
vanilla,ben_sarc_binary,banglasarc_binary,42,436,0.6110091743119266,0.9732173272054101,0.3622081528934835,0.6278239785007087
vanilla,ben_sarc_binary,banglasarc_binary,1,436,0.6046881910659001,0.9732794018508304,0.3685912107849303,0.6212894158820158
vanilla,ben_sarc_binary,banglasarc_binary,7,436,0.6059681132236338,0.9684211112782541,0.3624529980546204,0.6257279051091673
vanilla,ben_sarc_binary,banglasarc_binary,123,436,0.5907509157509158,0.9684211112782541,0.3776701955273384,0.6100144956269719
vanilla,ben_sarc_binary,banglasarc_binary,2024,436,0.5299681348461837,0.9780348956321685,0.44806676078598484,0.5418703741686336
vanilla,ben_sarc_binary,banglasarc3_binary,42,762,0.6574325267025284,0.7663462532299742,0.1089137265274458,0.8578792209547585
vanilla,ben_sarc_binary,banglasarc3_binary,1,762,0.6306222538870383,0.7475888616916673,0.11696660780462897,0.8435415322534991
vanilla,ben_sarc_binary,banglasarc3_binary,7,762,0.645513001647174,0.7690034103827208,0.12349040873554684,0.8394150050984981
vanilla,ben_sarc_binary,banglasarc3_binary,123,762,0.6519138446687295,0.7597726000258409,0.10785875535711142,0.8580381085690073
vanilla,ben_sarc_binary,banglasarc3_binary,2024,762,0.625811806203963,0.7622112379077237,0.13639943170376068,0.8210477293956223
vanilla,banglasarc_binary,ben_sarc_binary,42,2563,0.3484234939492279,0.788894039982126,0.44047054603289815,0.4416607000315557
vanilla,banglasarc_binary,ben_sarc_binary,1,2563,0.34235930618485744,0.7997029406589691,0.45734363447411164,0.42810809961852514
vanilla,banglasarc_binary,ben_sarc_binary,7,2563,0.35038869742517803,0.7895683587481434,0.4391796613229653,0.44377246573142515
vanilla,banglasarc_binary,ben_sarc_binary,123,2563,0.343006458082034,0.7994745662907098,0.4564681082086758,0.42903986261059857
vanilla,banglasarc_binary,ben_sarc_binary,2024,2563,0.34670171601498273,0.7794225562620212,0.43272084024703844,0.44481868433177707
vanilla,banglasarc_binary,banglasarc3_binary,42,762,0.3432195898161245,0.7663462532299742,0.4231266634138497,0.4478649022808325
vanilla,banglasarc_binary,banglasarc3_binary,1,762,0.33408728730787024,0.7475888616916673,0.41350157438379703,0.4468863896017487
vanilla,banglasarc_binary,banglasarc3_binary,7,762,0.342574388508258,0.7690034103827208,0.4264290218744628,0.44547837354552716
vanilla,banglasarc_binary,banglasarc3_binary,123,762,0.33624728487886385,0.7597726000258409,0.42352531514697705,0.4425630575088225
vanilla,banglasarc_binary,banglasarc3_binary,2024,762,0.33068108417389513,0.7622112379077237,0.4315301537338286,0.43384440917142275
vanilla,banglasarc3_binary,ben_sarc_binary,42,2563,0.6695372938702107,0.788894039982126,0.11935674611191538,0.84870370409362
vanilla,banglasarc3_binary,ben_sarc_binary,1,2563,0.6702313380060057,0.7997029406589691,0.12947160265296342,0.83810037944055
vanilla,banglasarc3_binary,ben_sarc_binary,7,2563,0.6724928885641777,0.7895683587481434,0.11707547018396569,0.8517221860693756
vanilla,banglasarc3_binary,ben_sarc_binary,123,2563,0.6542961447353197,0.7994745662907098,0.14517842155539007,0.8184077046641164
vanilla,banglasarc3_binary,ben_sarc_binary,2024,2563,0.6710739493549076,0.7794225562620212,0.10834860690711356,0.860988617744481
vanilla,banglasarc3_binary,banglasarc_binary,42,436,0.6277175697865354,0.9732173272054101,0.34549975741887473,0.6449921844168394
vanilla,banglasarc3_binary,banglasarc_binary,1,436,0.6538852926289991,0.9732794018508304,0.3193941092218313,0.6718371840455499
vanilla,banglasarc3_binary,banglasarc_binary,7,436,0.6888638497652582,0.9684211112782541,0.279557261512996,0.7113267583107536
vanilla,banglasarc3_binary,banglasarc_binary,123,436,0.6015239605355884,0.9684211112782541,0.3668971507426657,0.6211388346765956
vanilla,banglasarc3_binary,banglasarc_binary,2024,436,0.6353629913400058,0.9780348956321685,0.34267190429216265,0.6496322310967533
