tag,system,protocol,source,held_out_corpus,target,seed,held_out,n_eval_total,n_removed_train_seen,n_removed_all_source,n_eval_clean,test_macro_f1,test_accuracy,test_recall_class_0,test_recall_class_1,temperature,ece,train_seconds,config_hash,prediction_path
D,dann,loco,banglasarc_binary+banglasarc3_binary,ben_sarc_binary,ben_sarc_binary,42,True,2563,0,0,2563,0.48540763161236866,0.5540382364416699,0.9195940671350508,0.18876755070202808,1.7089652352518299,0.36994456577032525,57.019187688827515,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_banglasarc_binary+banglasarc3_binary_seed42_to_ben_sarc_binary.csv
D,dann,loco,banglasarc_binary+banglasarc3_binary,ben_sarc_binary,banglasarc_binary,42,False,464,0,0,464,0.9199901465697746,0.9245689655172413,0.9060402684563759,0.9578313253012049,1.7089652352518299,0.028567962127171095,57.019187688827515,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_banglasarc_binary+banglasarc3_binary_seed42_to_banglasarc_binary.csv
D,dann,loco,banglasarc_binary+banglasarc3_binary,ben_sarc_binary,banglasarc3_binary,42,False,791,0,0,791,0.7475336583101206,0.7496839443742098,0.8409090909090909,0.6582278481012658,1.7089652352518299,0.13753188671806332,57.019187688827515,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_banglasarc_binary+banglasarc3_binary_seed42_to_banglasarc3_binary.csv
D,dann,loco,banglasarc_binary+banglasarc3_binary,ben_sarc_binary,ben_sarc_binary,1,True,2563,0,0,2563,0.4849473381834231,0.554818571985954,0.9234972677595629,0.18642745709828393,1.8075611660512354,0.37463251541535997,56.96278762817383,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_banglasarc_binary+banglasarc3_binary_seed1_to_ben_sarc_binary.csv
D,dann,loco,banglasarc_binary+banglasarc3_binary,ben_sarc_binary,banglasarc_binary,1,False,464,0,0,464,0.9262658164988181,0.9310344827586207,0.9228187919463087,0.9457831325301205,1.8075611660512354,0.03268815160386819,56.96278762817383,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_banglasarc_binary+banglasarc3_binary_seed1_to_banglasarc_binary.csv
D,dann,loco,banglasarc_binary+banglasarc3_binary,ben_sarc_binary,banglasarc3_binary,1,False,791,0,0,791,0.7343936800953825,0.7383059418457648,0.8585858585858586,0.6177215189873417,1.8075611660512354,0.1460877715576766,56.96278762817383,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_banglasarc_binary+banglasarc3_binary_seed1_to_banglasarc3_binary.csv
D,dann,loco,banglasarc_binary+banglasarc3_binary,ben_sarc_binary,ben_sarc_binary,7,True,2563,0,0,2563,0.46558114827955327,0.5446742099102614,0.9297423887587822,0.15990639625585024,1.9609043621479338,0.3841834594047148,56.8978316783905,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_banglasarc_binary+banglasarc3_binary_seed7_to_ben_sarc_binary.csv
D,dann,loco,banglasarc_binary+banglasarc3_binary,ben_sarc_binary,banglasarc_binary,7,False,464,0,0,464,0.9283147691310956,0.9331896551724138,0.9295302013422819,0.9397590361445783,1.9609043621479338,0.02431427682947951,56.8978316783905,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_banglasarc_binary+banglasarc3_binary_seed7_to_banglasarc_binary.csv
D,dann,loco,banglasarc_binary+banglasarc3_binary,ben_sarc_binary,banglasarc3_binary,7,False,791,0,0,791,0.7247858600472217,0.7281921618204804,0.8383838383838383,0.6177215189873417,1.9609043621479338,0.1844432415172747,56.8978316783905,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_banglasarc_binary+banglasarc3_binary_seed7_to_banglasarc3_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc3_binary,banglasarc_binary,ben_sarc_binary,42,False,2563,0,0,2563,0.7858447049852371,0.7865782286383145,0.8454332552693209,0.7277691107644306,2.154228350460019,0.10776654575275152,152.9857633113861,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc3_binary_seed42_to_ben_sarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc3_binary,banglasarc_binary,banglasarc_binary,42,True,464,24,28,436,0.6092173359932922,0.6444954128440367,0.762962962962963,0.45180722891566266,2.154228350460019,0.24660710669567598,152.9857633113861,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc3_binary_seed42_to_banglasarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc3_binary,banglasarc_binary,banglasarc3_binary,42,False,791,0,0,791,0.7424919615437043,0.7433628318584071,0.8005050505050505,0.6860759493670886,2.154228350460019,0.1468215042691783,152.9857633113861,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc3_binary_seed42_to_banglasarc3_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc3_binary,banglasarc_binary,ben_sarc_binary,1,False,2563,0,0,2563,0.7917456807018401,0.7924307452204448,0.8501170960187353,0.734789391575663,2.0812028961996383,0.10162794719531162,152.95403742790222,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc3_binary_seed1_to_ben_sarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc3_binary,banglasarc_binary,banglasarc_binary,1,True,464,24,28,436,0.5731468531468531,0.6146788990825688,0.7481481481481481,0.39759036144578314,2.0812028961996383,0.2715856021027747,152.95403742790222,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc3_binary_seed1_to_banglasarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc3_binary,banglasarc_binary,banglasarc3_binary,1,False,791,0,0,791,0.7374179115248611,0.7383059418457648,0.7954545454545454,0.6810126582278481,2.0812028961996383,0.15058076226265227,152.95403742790222,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc3_binary_seed1_to_banglasarc3_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc3_binary,banglasarc_binary,ben_sarc_binary,7,False,2563,0,0,2563,0.7817510056103438,0.7830667186890363,0.8610460577673692,0.7051482059282371,2.266347416924117,0.1122315634109048,153.00183391571045,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc3_binary_seed7_to_ben_sarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc3_binary,banglasarc_binary,banglasarc_binary,7,True,464,24,28,436,0.6170636674978043,0.658256880733945,0.7962962962962963,0.43373493975903615,2.266347416924117,0.24100748802702224,153.00183391571045,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc3_binary_seed7_to_banglasarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc3_binary,banglasarc_binary,banglasarc3_binary,7,False,791,0,0,791,0.7305858310626703,0.7319848293299621,0.803030303030303,0.660759493670886,2.266347416924117,0.167582366823539,153.00183391571045,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc3_binary_seed7_to_banglasarc3_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc_binary,banglasarc3_binary,ben_sarc_binary,42,False,2563,0,0,2563,0.7810960183969751,0.7822863831447523,0.8563622170179547,0.7082683307332294,1.9512919885362572,0.1118538301810519,138.09715247154236,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc_binary_seed42_to_ben_sarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc_binary,banglasarc3_binary,banglasarc_binary,42,False,464,0,0,464,0.8910798122065728,0.896551724137931,0.87248322147651,0.9397590361445783,1.9512919885362572,0.069938738272982,138.09715247154236,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc_binary_seed42_to_banglasarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc_binary,banglasarc3_binary,banglasarc3_binary,42,True,791,25,29,762,0.6243644211725482,0.6286089238845144,0.7547169811320755,0.5089514066496164,1.9512919885362572,0.265148386616173,138.09715247154236,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc_binary_seed42_to_banglasarc3_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc_binary,banglasarc3_binary,ben_sarc_binary,1,False,2563,0,0,2563,0.7838793408334663,0.7850175575497463,0.8579234972677595,0.7121684867394695,2.0083291134429353,0.10424838404109865,138.0321216583252,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc_binary_seed1_to_ben_sarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc_binary,banglasarc3_binary,banglasarc_binary,1,False,464,0,0,464,0.8910798122065728,0.896551724137931,0.87248322147651,0.9397590361445783,2.0083291134429353,0.06448465909419047,138.0321216583252,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc_binary_seed1_to_banglasarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc_binary,banglasarc3_binary,banglasarc3_binary,1,True,791,25,29,762,0.6309202075012109,0.6377952755905512,0.7951482479784366,0.4884910485933504,2.0083291134429353,0.25939060851244417,138.0321216583252,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc_binary_seed1_to_banglasarc3_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc_binary,banglasarc3_binary,ben_sarc_binary,7,False,2563,0,0,2563,0.770930463978889,0.7729223566133437,0.8665105386416861,0.6794071762870515,2.085380391203584,0.1281883934055178,139.20011019706726,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc_binary_seed7_to_ben_sarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc_binary,banglasarc3_binary,banglasarc_binary,7,False,464,0,0,464,0.8908556306968538,0.896551724137931,0.8758389261744967,0.9337349397590361,2.085380391203584,0.07325054987317554,139.20011019706726,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc_binary_seed7_to_banglasarc_binary.csv
D,dann,loco,ben_sarc_binary+banglasarc_binary,banglasarc3_binary,banglasarc3_binary,7,True,791,25,29,762,0.6190233933004115,0.6259842519685039,0.7816711590296496,0.4782608695652174,2.085380391203584,0.27479839928628413,139.20011019706726,6970de89ef36b0ad,04_outputs/predictions/19_dann/19_D_dann_ben_sarc_binary+banglasarc_binary_seed7_to_banglasarc3_binary.csv
