system,protocol,source,target,held_out,seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,accuracy_mean,recall_class_1_mean,ece_mean,ece_temperature_scaled_mean,n_eval_clean
fgm,loco,banglasarc_binary+banglasarc3_binary,banglasarc3_binary,False,5,0.7515711329634301,0.009507823021071752,0.7397656114168724,0.7633766545099879,0.7527180783817953,0.7129113924050633,0.06527380837841777,0.036348691213962996,791
fgm,loco,ben_sarc_binary+banglasarc3_binary,banglasarc3_binary,False,5,0.7384372211693008,0.009609550459540196,0.7265053883247673,0.7503690540138342,0.7388116308470292,0.7716455696202532,0.09012529346767946,0.041041065649580974,791
fgm,loco,ben_sarc_binary+banglasarc_binary,banglasarc3_binary,True,5,0.6386494032148768,0.017338642486211215,0.6171206350620221,0.6601781713677316,0.6396325459317586,0.5872122762148337,0.1833023169475867,0.15304537409399477,762
fgm,loco,banglasarc_binary+banglasarc3_binary,banglasarc_binary,False,5,0.9258182857384432,0.008907517822660456,0.9147581415446873,0.936878429932199,0.9297413793103448,0.9771084337349398,0.03548537175214334,0.04630328420031656,464
fgm,loco,ben_sarc_binary+banglasarc3_binary,banglasarc_binary,True,5,0.6207330308742962,0.030223430584535974,0.5832056852152673,0.6582603765333251,0.6463302752293578,0.5132530120481927,0.19416569610023166,0.13806689912733128,436
fgm,loco,ben_sarc_binary+banglasarc_binary,banglasarc_binary,False,5,0.8639394856288009,0.01750658203806498,0.8422021929805349,0.8856767782770668,0.8685344827586207,0.9554216867469879,0.0632646633402381,0.06765747587296536,464
fgm,loco,banglasarc_binary+banglasarc3_binary,ben_sarc_binary,True,5,0.508679453313323,0.009503759008837301,0.496878977904445,0.520479928722201,0.5635583300819352,0.22979719188767547,0.3480674393480999,0.32498164274388375,2563
fgm,loco,ben_sarc_binary+banglasarc3_binary,ben_sarc_binary,False,5,0.797822597993554,0.0039333301975107106,0.7929387234942573,0.8027064724928508,0.7978930940304332,0.7964118564742589,0.056707959324699665,0.019582419853610818,2563
fgm,loco,ben_sarc_binary+banglasarc_binary,ben_sarc_binary,False,5,0.7918282379618038,0.005412765978511702,0.7851074013155837,0.7985490746080239,0.7921966445571595,0.7806552262090484,0.045252091385338984,0.0193736738546437,2563
fgm,pooled_all,ben_sarc_binary+banglasarc_binary+banglasarc3_binary,banglasarc3_binary,False,5,0.7377277124227891,0.00978134182028318,0.7255825724304186,0.7498728524151597,0.7380530973451327,0.709873417721519,0.07947723145061227,0.04239772051134086,791
fgm,pooled_all,ben_sarc_binary+banglasarc_binary+banglasarc3_binary,banglasarc_binary,False,5,0.8621949842610664,0.0051210963935394435,0.8558363032378774,0.8685536652842555,0.8672413793103448,0.9445783132530121,0.053125946856885875,0.05364649043049219,464
fgm,pooled_all,ben_sarc_binary+banglasarc_binary+banglasarc3_binary,ben_sarc_binary,False,5,0.7879962700744549,0.0032360228612524572,0.7839782169902734,0.7920143231586365,0.7882169332813109,0.7569422776911077,0.040843890433423256,0.01448971615190646,2563
vanilla,loco,banglasarc_binary+banglasarc3_binary,banglasarc3_binary,False,5,0.7458149233235124,0.012504537704601176,0.7302884890415275,0.7613413576054973,0.7471554993678888,0.6962025316455696,0.1225974671450996,0.06364736071454871,791
