system,source,target,seeds,n_exact,n_strict,macro_f1_exact_filter,macro_f1_strict_filter,delta
fgm,banglasarc3_binary,banglasarc_binary,10,436,372,0.611250110159949,0.6105730833490601,-0.0006770268108888811
fgm,banglasarc3_binary,ben_sarc_binary,10,2563,2561,0.6669885798662155,0.6667670744683553,-0.00022150539786019996
fgm,banglasarc_binary,banglasarc3_binary,10,762,695,0.3350976260630097,0.3259784543100867,-0.009119171752922966
fgm,banglasarc_binary,ben_sarc_binary,10,2563,2563,0.34582589096342253,0.34582589096342253,0.0
fgm,ben_sarc_binary,banglasarc3_binary,10,791,791,0.651587925527165,0.651587925527165,0.0
fgm,ben_sarc_binary,banglasarc_binary,10,464,462,0.5942871914942585,0.5933713678189815,-0.0009158236752769722
vanilla,banglasarc3_binary,banglasarc_binary,10,436,372,0.6278633072606159,0.6258365236594615,-0.0020267836011543692
vanilla,banglasarc3_binary,ben_sarc_binary,10,2563,2561,0.6727964250357603,0.6726131875417899,-0.0001832374939704562
vanilla,banglasarc_binary,banglasarc3_binary,10,762,695,0.33653269619855436,0.3274070741005079,-0.00912562209804645
vanilla,banglasarc_binary,ben_sarc_binary,10,2563,2563,0.3466797627674948,0.3466797627674948,0.0
vanilla,ben_sarc_binary,banglasarc3_binary,10,791,791,0.6448245187152004,0.6448245187152004,0.0
vanilla,ben_sarc_binary,banglasarc_binary,10,464,462,0.5854811428901694,0.5845320334960051,-0.0009491093941641382
