system,source,target,seeds,n_own_filter,n_common_support,macro_f1_own_filter,macro_f1_common_support,delta,common_std,common_ci95_lo,common_ci95_hi
fgm,banglasarc_binary,ben_sarc_binary,5,2563,2563,0.34601626012796693,0.34601626012796693,0.0,0.0044460701302277104,0.34049573491377405,0.3515367853421598
fgm,banglasarc3_binary,ben_sarc_binary,5,2563,2563,0.669968564396278,0.669968564396278,0.0,0.005152424535200085,0.6635709843474583,0.6763661444450978
vanilla,banglasarc_binary,ben_sarc_binary,5,2563,2563,0.34617593433125604,0.34617593433125604,0.0,0.003452809493841792,0.3418887050900965,0.3504631635724156
vanilla,banglasarc3_binary,ben_sarc_binary,5,2563,2563,0.6675263229061242,0.6675263229061242,0.0,0.0074774854261991115,0.6582417984553195,0.676810847356929
fgm,ben_sarc_binary,banglasarc_binary,5,464,436,0.5955841933018913,0.5930292516500896,-0.002554941651801701,0.03733139646939005,0.5466762006513768,0.6393823026488024
fgm,banglasarc3_binary,banglasarc_binary,5,436,436,0.6238043786684446,0.6238043786684446,0.0,0.04642398120534457,0.56616139255248,0.6814473647844093
vanilla,ben_sarc_binary,banglasarc_binary,5,464,436,0.59064185182486,0.5884769058397119,-0.002164945985148048,0.03355927081741175,0.5468075674597614,0.6301462442196624
vanilla,banglasarc3_binary,banglasarc_binary,5,436,436,0.6414707328112773,0.6414707328112773,0.0,0.03249010404874176,0.6011289403160602,0.6818125253064944
fgm,ben_sarc_binary,banglasarc3_binary,5,791,762,0.6490237832213607,0.6470593018101194,-0.001964481411241281,0.007870185298002402,0.6372871760663972,0.6568314275538416
fgm,banglasarc_binary,banglasarc3_binary,5,762,762,0.3340533284733548,0.3340533284733548,0.0,0.004228522333025245,0.32880292452683674,0.3393037324198728
vanilla,ben_sarc_binary,banglasarc3_binary,5,791,762,0.6441097944931915,0.6422586866218867,-0.0018511078713048246,0.01360114432924987,0.6253706353738838,0.6591467378698895
vanilla,banglasarc_binary,banglasarc3_binary,5,762,762,0.33736192693700234,0.33736192693700234,0.0,0.0054332614901428725,0.330615641751865,0.3441082121221397
