system,held_out_target,base_source,added_source,n_paired_seeds,seeds,n_eval_single_arm,n_eval_pooled_arm,populations_match,single_mean,pooled_mean,delta_pooled_minus_single,delta_std,delta_ci95_lo,delta_ci95_hi,exact_sign_flip_p,paired_t_p,p_holm
vanilla,ben_sarc_binary,banglasarc3_binary,banglasarc_binary,5,"1,7,42,123,2024",2563,2563,True,0.6675263229061242,0.5017854816928707,-0.1657408412132536,0.01618389248052274,-0.18583579785711934,-0.14564588456938787,0.0625,2.1543881377180753e-05,0.75
fgm,ben_sarc_binary,banglasarc3_binary,banglasarc_binary,5,"1,7,42,123,2024",2563,2563,True,0.669968564396278,0.508679453313323,-0.16128911108295518,0.0091306696937406,-0.17262633492116308,-0.14995188724474728,0.0625,2.4544156334847917e-06,0.75
vanilla,banglasarc_binary,banglasarc3_binary,ben_sarc_binary,5,"1,7,42,123,2024",436,436,True,0.6414707328112773,0.5942174827806314,-0.047253250030646024,0.04910102244083813,-0.10822022187042996,0.013713721809137908,0.1875,0.0977707685448604,1.0
fgm,banglasarc3_binary,ben_sarc_binary,banglasarc_binary,5,"1,7,42,123,2024",791,762,False,0.6490237832213607,0.6386494032148768,-0.010374380006483875,0.01931204181155488,-0.034353447055697414,0.013604687042729668,0.3125,0.29593092684507905,1.0
fgm,banglasarc_binary,banglasarc3_binary,ben_sarc_binary,5,"1,7,42,123,2024",436,436,True,0.6238043786684446,0.6207330308742962,-0.0030713477941482826,0.0422387779662151,-0.055517717722920086,0.04937502213462352,0.9375,0.8787220209974287,1.0
vanilla,banglasarc3_binary,ben_sarc_binary,banglasarc_binary,5,"1,7,42,123,2024",791,762,False,0.6441097944931915,0.6470233642033223,0.00291356971013077,0.02154637805758435,-0.023839792215659315,0.029666931635920858,0.8125,0.7774421003330736,1.0
vanilla,banglasarc_binary,ben_sarc_binary,banglasarc3_binary,5,"1,7,42,123,2024",464,436,False,0.59064185182486,0.5942174827806314,0.0035756309557714696,0.03223535344896469,-0.0364498468911816,0.043601108802724546,0.75,0.8163233391324711,1.0
fgm,banglasarc_binary,ben_sarc_binary,banglasarc3_binary,5,"1,7,42,123,2024",464,436,False,0.5955841933018913,0.6207330308742962,0.025148837572404915,0.0503650335812261,-0.03738761139372724,0.08768528653853708,0.375,0.32673292660656245,1.0
vanilla,ben_sarc_binary,banglasarc_binary,banglasarc3_binary,5,"1,7,42,123,2024",2563,2563,True,0.34617593433125593,0.5017854816928707,0.15560954736161467,0.018951791353264944,0.13207779033679615,0.1791413043864332,0.0625,5.17757792145179e-05,0.75
fgm,ben_sarc_binary,banglasarc_binary,banglasarc3_binary,5,"1,7,42,123,2024",2563,2563,True,0.34601626012796693,0.508679453313323,0.16266319318535608,0.011912251587081646,0.14787217925213111,0.17745420711858104,0.0625,6.853783128498649e-06,0.75
fgm,banglasarc3_binary,banglasarc_binary,ben_sarc_binary,5,"1,7,42,123,2024",762,762,True,0.3340533284733548,0.6386494032148768,0.30459607474152206,0.01744468687309471,0.2829356350912625,0.3262565143917816,0.0625,2.570808920235288e-06,0.75
vanilla,banglasarc3_binary,banglasarc_binary,ben_sarc_binary,5,"1,7,42,123,2024",762,762,True,0.3373619269370023,0.6470233642033223,0.3096614372663199,0.016819359334476626,0.2887774443078478,0.330545430224792,0.0625,2.080626627503888e-06,0.75
