system,source,target,in_domain,seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,accuracy_mean,recall_class_1_mean,ece_mean,n_eval_clean
dannmatched,banglasarc3_binary+banglasarc_binary,banglasarc3_binary,False,5,0.7572874846551889,0.011970681657366413,0.7424239202072789,0.772151049103099,0.7580278128950695,0.7255696202531645,0.08990068234530639,791
dannmatched,banglasarc3_binary+banglasarc_binary,banglasarc_binary,False,5,0.9138312095341504,0.011726529974122346,0.8992707994414254,0.9283916196268754,0.9185344827586206,0.9566265060240964,0.03945070998347629,464
dannmatched,banglasarc3_binary+banglasarc_binary,ben_sarc_binary,False,5,0.4920335609370812,0.013129938211167773,0.47573058936163426,0.5083365325125282,0.554428404213812,0.2046801872074883,0.3652069238505574,2563
dannmatched,banglasarc3_binary+ben_sarc_binary,banglasarc3_binary,False,5,0.7313910640458772,0.009120652696367524,0.7200662779526775,0.7427158501390768,0.7317319848293299,0.7250632911392405,0.07815928167078504,791
dannmatched,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,False,5,0.5800303809202035,0.039314028456044946,0.5312155671619742,0.6288451946784329,0.6110091743119266,0.4469879518072289,0.20432933864848044,436
dannmatched,banglasarc3_binary+ben_sarc_binary,ben_sarc_binary,False,5,0.7971269448562672,0.005418670533765026,0.7903987767363636,0.8038551129761708,0.7972688255950058,0.8049921996879874,0.03433369011295405,2563
dannmatched,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,False,5,0.6299544764464928,0.008737283356368237,0.6191057062607854,0.6408032466322002,0.6325459317585302,0.579539641943734,0.18852619125505363,762
dannmatched,banglasarc_binary+ben_sarc_binary,banglasarc_binary,False,5,0.8595608406761132,0.04053447174279085,0.8092306464268819,0.9098910349253444,0.8642241379310345,0.9457831325301205,0.06515771047141504,464
dannmatched,banglasarc_binary+ben_sarc_binary,ben_sarc_binary,False,5,0.7890351313347577,0.01188597635963448,0.7742767424054985,0.8037935202640168,0.7898556379243075,0.7731669266770671,0.06194637158562448,2563
fgm,banglasarc3_binary,banglasarc3_binary,True,5,0.759524242762485,0.008867570150291063,0.7485137001553223,0.7705347853696477,0.7597977243994943,0.7777215189873419,0.07575806965247472,791
fgm,banglasarc3_binary,banglasarc_binary,False,5,0.6238043786684446,0.04642398120534457,0.56616139255248,0.6814473647844093,0.6339449541284404,0.6240963855421686,0.16480218691462256,436
fgm,banglasarc3_binary,ben_sarc_binary,False,5,0.669968564396278,0.005152424535200085,0.6635709843474583,0.6763661444450978,0.6719469371829886,0.7390015600624025,0.1219647091290599,2563
fgm,banglasarc_binary,banglasarc3_binary,False,5,0.3340533284733548,0.004228522333025245,0.32880292452683674,0.3393037324198728,0.4850393700787402,0.008695652173913045,0.5105412454963894,762
fgm,banglasarc_binary,banglasarc_binary,True,5,0.9816548303998989,0.0025730865334429925,0.9784599214870597,0.984849739312738,0.9831896551724139,0.9698795180722891,0.014041531776094102,464
fgm,banglasarc_binary,ben_sarc_binary,False,5,0.34601626012796693,0.0044460701302277104,0.34049573491377405,0.3515367853421598,0.4994147483417869,0.015132605304212168,0.4957178692995584,2563
fgm,ben_sarc_binary,banglasarc3_binary,False,5,0.6490237832213607,0.008583574444830905,0.6383658678573123,0.659681698585409,0.6493046776232616,0.6334177215189873,0.16542314776562067,791
fgm,ben_sarc_binary,banglasarc_binary,False,5,0.5955841933018913,0.03514355159096435,0.5519477105223741,0.6392206760814084,0.6353448275862069,0.4542168674698795,0.18207811719454672,464
fgm,ben_sarc_binary,ben_sarc_binary,True,5,0.7983979259160027,0.0034983776814320787,0.7940541162968489,0.8027417355351565,0.7985173624658604,0.7870514820592824,0.0439000978643973,2563
vanilla,banglasarc3_binary,banglasarc3_binary,True,5,0.7605290962933047,0.008429450497397082,0.7500625510860459,0.7709956415005634,0.7610619469026549,0.7650632911392405,0.11520424467041002,791
vanilla,banglasarc3_binary,banglasarc_binary,False,5,0.6414707328112773,0.03249010404874176,0.6011289403160602,0.6818125253064944,0.6518348623853212,0.6409638554216868,0.20323765833258794,436
vanilla,banglasarc3_binary,ben_sarc_binary,False,5,0.6675263229061242,0.0074774854261991115,0.6582417984553195,0.676810847356929,0.6686695278969956,0.702340093603744,0.17419021186278555,2563
vanilla,banglasarc_binary,banglasarc3_binary,False,5,0.33736192693700234,0.0054332614901428725,0.330615641751865,0.3441082121221397,0.4866141732283465,0.011764705882352941,0.5017956023795695,762
vanilla,banglasarc_binary,banglasarc_binary,True,5,0.9728044543601605,0.003876760974087099,0.9679908198289952,0.9776180888913258,0.975,0.9650602409638556,0.02484213025098734,464
vanilla,banglasarc_binary,ben_sarc_binary,False,5,0.34617593433125604,0.003452809493841792,0.3418887050900965,0.3504631635724156,0.4980881779165041,0.016068642745709828,0.4892399726511214,2563
vanilla,ben_sarc_binary,banglasarc3_binary,False,5,0.6441097944931915,0.013764806385987234,0.6270185299614659,0.6612010590249171,0.6450063211125159,0.6121518987341773,0.1649742464064201,791
vanilla,ben_sarc_binary,banglasarc_binary,False,5,0.59064185182486,0.03183878080969864,0.5511087839467562,0.6301749197029637,0.6297413793103448,0.4554216867469879,0.17824199674332936,464
vanilla,ben_sarc_binary,ben_sarc_binary,True,5,0.791412492388394,0.008473938987473945,0.7808907074246723,0.8019342773521156,0.7918064767850175,0.770046801872075,0.03734590382809446,2563
