system,source,target,in_domain,seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,accuracy_mean,accuracy_std,accuracy_ci95_lo,accuracy_ci95_hi,ece_mean,ece_std,ece_temperature_scaled_mean,brier_mean,brier_temperature_scaled_mean,recall_class_0_mean,recall_class_1_mean,n_eval_total,n_removed_train_seen,n_removed_all_source,n_eval_clean
fgm,banglasarc3_binary,banglasarc3_binary,True,5,0.759524242762485,0.008867570150291063,0.7485137001553223,0.7705347853696477,0.7597977243994942,0.008939403049134625,0.7486979894679509,0.7708974593310376,0.07575806965247464,0.0367539844254044,0.03797309488186788,0.33783244025752074,0.3250947272061684,0.7419191919191919,0.7777215189873419,791,0,0,791
fgm,banglasarc3_binary,banglasarc_binary,False,5,0.6238043786684446,0.04642398120534457,0.5661613925524801,0.6814473647844091,0.6339449541284404,0.04389670983780711,0.5794399898832383,0.6884499183736426,0.1648021869146225,0.03280803130985365,0.11445552184707593,0.5137887411031421,0.48038973758266656,0.64,0.6240963855421686,464,24,28,436
fgm,banglasarc3_binary,ben_sarc_binary,False,5,0.6699685643962783,0.005152424535200085,0.6635709843474585,0.676366144445098,0.6719469371829886,0.005663483787487084,0.6649147932596552,0.678979081106322,0.12196470912905984,0.060860988590688725,0.06571301612543134,0.458249170621969,0.4295022127058224,0.604839968774395,0.7390015600624025,2563,0,0,2563
fgm,banglasarc_binary,banglasarc3_binary,False,5,0.3340533284733548,0.004228522333025253,0.32880292452683674,0.3393037324198728,0.4850393700787401,0.002558213738795007,0.4818629281795681,0.4882158119779121,0.5105412454963894,0.0035791790370128984,0.5068972749007712,1.0196940013127533,1.0128677321262034,0.9870619946091643,0.008695652173912981,791,25,29,762
fgm,banglasarc_binary,banglasarc_binary,True,5,0.9816548303998989,0.0025730865334430025,0.9784599214870597,0.984849739312738,0.9831896551724139,0.0023608730926947927,0.9802582440488867,0.986121066295941,0.01404153177609414,0.002309928918831937,0.01069260145921642,0.0291945059516191,0.028305807505676038,0.9906040268456376,0.9698795180722891,464,0,0,464
fgm,banglasarc_binary,ben_sarc_binary,False,5,0.34601626012796693,0.004446070130227724,0.34049573491377405,0.3515367853421598,0.4994147483417869,0.0017007018897934932,0.4973030480335532,0.5015264486500206,0.49571786929955836,0.0030573077308461666,0.4921654461939398,0.9920347899026805,0.9857093415110258,0.9840749414519905,0.015132605304212121,2563,0,0,2563
fgm,ben_sarc_binary,banglasarc3_binary,False,5,0.6490237832213607,0.008583574444830905,0.6383658678573123,0.659681698585409,0.6493046776232616,0.0083668228105053,0.6389158949601071,0.6596934602864161,0.16542314776562064,0.05258872955074673,0.14123604679709265,0.49513266450321325,0.4740903814672833,0.6651515151515152,0.6334177215189875,791,0,0,791
fgm,ben_sarc_binary,banglasarc_binary,False,5,0.5955841933018913,0.03514355159096435,0.5519477105223742,0.6392206760814083,0.6353448275862069,0.02501300196974854,0.6042870835533704,0.6664025716190435,0.1820781171945466,0.0412606689311738,0.16176788052227561,0.5048244042781864,0.4850569213255942,0.736241610738255,0.4542168674698795,464,0,0,464
fgm,ben_sarc_binary,ben_sarc_binary,True,5,0.7983979259160027,0.003498377681432079,0.7940541162968489,0.8027417355351565,0.7985173624658604,0.0034634945019386626,0.7942168660348264,0.8028178588968943,0.04390009786439726,0.044705587831133195,0.0214648831989855,0.29051672742136053,0.2829914216905378,0.809992193598751,0.7870514820592824,2563,0,0,2563
vanilla,banglasarc3_binary,banglasarc3_binary,True,5,0.7605290962933047,0.00842945049739708,0.7500625510860459,0.7709956415005634,0.7610619469026549,0.0076378293132708976,0.751578329219941,0.7705455645853688,0.11520424467040997,0.04085367117813628,0.04583248713827902,0.36353686116433626,0.3335706254620215,0.7570707070707071,0.7650632911392405,791,0,0,791
vanilla,banglasarc3_binary,banglasarc_binary,False,5,0.6414707328112773,0.03249010404874176,0.6011289403160603,0.6818125253064943,0.6518348623853212,0.027874286426457517,0.617224364453969,0.6864453603166734,0.2032376583325879,0.04621888599398137,0.10920131231848126,0.5370557961426666,0.4700985408498333,0.6585185185185185,0.6409638554216868,464,24,28,436
vanilla,banglasarc3_binary,ben_sarc_binary,False,5,0.6675263229061242,0.0074774854261991115,0.6582417984553195,0.676810847356929,0.6686695278969956,0.008200023432756097,0.6584878540161151,0.6788512017778762,0.17419021186278552,0.0536509057408801,0.07501546198546992,0.49268842493354914,0.43481533334712985,0.6349726775956285,0.7023400936037442,2563,0,0,2563
vanilla,banglasarc_binary,banglasarc3_binary,False,5,0.3373619269370023,0.005433261490142901,0.3306156417518649,0.34410821212213966,0.4866141732283465,0.00143759201444927,0.4848291669798996,0.4883991794767934,0.5017956023795695,0.019523125858122846,0.5036138927488811,1.0026901479941672,1.0055379380996186,0.9870619946091643,0.01176470588235288,791,25,29,762
vanilla,banglasarc_binary,banglasarc_binary,True,5,0.9728044543601605,0.0038767609740871026,0.9679908198289952,0.9776180888913258,0.975,0.0036062932178192917,0.9705221955444674,0.9794778044555326,0.02484213025098726,0.011524376253796096,0.013439820232652281,0.04275031157484172,0.041646047776984496,0.980536912751678,0.9650602409638556,464,0,0,464
vanilla,banglasarc_binary,ben_sarc_binary,False,5,0.34617593433125593,0.0034528094938417885,0.34188870509009645,0.3504631635724154,0.4980881779165041,0.001943019835815653,0.49567560013857603,0.5005007556944322,0.4892399726511213,0.01997321772896624,0.4905584916978093,0.9801603838772989,0.982103270971036,0.9804839968774395,0.0160686427457098,2563,0,0,2563
vanilla,ben_sarc_binary,banglasarc3_binary,False,5,0.6441097944931915,0.013764806385987234,0.6270185299614659,0.6612010590249171,0.6450063211125159,0.013210973934374846,0.6286027303969943,0.6614099118280374,0.16497424640642003,0.029050689952801016,0.14606000832276017,0.4986248321822421,0.48460916338797116,0.6777777777777777,0.6121518987341773,791,0,0,791
vanilla,ben_sarc_binary,banglasarc_binary,False,5,0.59064185182486,0.03183878080969864,0.5511087839467562,0.6301749197029637,0.6297413793103448,0.018626974514079207,0.6066129356607536,0.652869822959936,0.17824199674332927,0.03881013174043066,0.16310378524508584,0.5069659307292038,0.4913654141518305,0.7268456375838925,0.4554216867469879,464,0,0,464
vanilla,ben_sarc_binary,ben_sarc_binary,True,5,0.791412492388394,0.008473938987473945,0.7808907074246723,0.8019342773521156,0.7918064767850176,0.008135723148796497,0.781704642251804,0.8019083113182311,0.03734590382809442,0.013648999638226043,0.027401650282856637,0.2914113083280188,0.2892064856774531,0.8135831381733022,0.7700468018720749,2563,0,0,2563
