system,target,k,seed,n_drawn,epochs,test_macro_f1,test_accuracy,test_recall_class_1,train_seconds
target_only,ben_sarc_binary,25,42,24,8,0.5565400620289473,0.5579399141630901,0.5015600624024961,0.9814810752868652
target_only,ben_sarc_binary,25,1,24,8,0.6169085687408552,0.6172454155286773,0.5873634945397815,0.9317770004272461
target_only,ben_sarc_binary,25,7,24,8,0.5773629005083203,0.5782286383144752,0.5327613104524181,0.9384891986846924
target_only,ben_sarc_binary,50,42,50,8,0.58174608746202,0.5864221615294577,0.6918876755070202,1.3795981407165527
target_only,ben_sarc_binary,50,1,50,8,0.6067515069301543,0.6094420600858369,0.6918876755070202,1.9625494480133057
target_only,ben_sarc_binary,50,7,50,8,0.6366830353947772,0.6406554818571986,0.5358814352574103,1.9310083389282227
target_only,ben_sarc_binary,100,42,100,8,0.6445320742712369,0.6453374951229028,0.5975039001560063,3.2503890991210938
target_only,ben_sarc_binary,100,1,100,8,0.6778894068638858,0.6820132657042528,0.5686427457098284,3.4599103927612305
target_only,ben_sarc_binary,100,7,100,8,0.6597413290168724,0.6597737026921576,0.6692667706708268,3.3821678161621094
target_only,ben_sarc_binary,250,42,250,5,0.7019741566748486,0.7073741708934842,0.5725429017160687,5.020127058029175
target_only,ben_sarc_binary,250,1,250,5,0.7162220591274545,0.7163480296527507,0.6950078003120125,4.8908469676971436
target_only,ben_sarc_binary,250,7,250,5,0.7102339769375168,0.7104955130706204,0.7402496099843994,4.956398248672485
target_only,banglasarc_binary,25,42,24,8,0.88141289933695,0.8857758620689655,0.9698795180722891,0.9884219169616699
target_only,banglasarc_binary,25,1,24,8,0.9202716907900057,0.9267241379310345,0.8975903614457831,0.9396231174468994
target_only,banglasarc_binary,25,7,24,8,0.9046948356807512,0.9094827586206896,0.9578313253012049,0.9375636577606201
target_only,banglasarc_binary,50,42,50,8,0.9060668454082665,0.9116379310344828,0.9337349397590361,1.9656691551208496
target_only,banglasarc_binary,50,1,50,8,0.9327761319298385,0.9375,0.9397590361445783,1.9795873165130615
target_only,banglasarc_binary,50,7,50,8,0.9179696707786595,0.9224137931034483,0.963855421686747,1.9839015007019043
target_only,banglasarc_binary,100,42,100,8,0.9400909759052898,0.9439655172413793,0.963855421686747,3.3987855911254883
target_only,banglasarc_binary,100,1,100,8,0.9552648537836617,0.959051724137931,0.9337349397590361,3.416201114654541
target_only,banglasarc_binary,100,7,100,8,0.9456970289069695,0.9504310344827587,0.9156626506024096,3.5312747955322266
target_only,banglasarc_binary,250,42,250,5,0.948811553505165,0.9525862068965517,0.9518072289156626,3.7848896980285645
target_only,banglasarc_binary,250,1,250,5,0.960782558977801,0.9633620689655172,0.9879518072289156,3.740771532058716
target_only,banglasarc_binary,250,7,250,5,0.9449530400395452,0.9482758620689655,0.9819277108433735,3.781879425048828
target_only,banglasarc3_binary,25,42,24,8,0.6049152953083969,0.6169405815423514,0.7924050632911392,0.7642819881439209
target_only,banglasarc3_binary,25,1,24,8,0.5565509315963483,0.5689001264222503,0.40253164556962023,0.7631633281707764
target_only,banglasarc3_binary,25,7,24,8,0.5553037222466538,0.5587863463969659,0.6481012658227848,0.7676951885223389
target_only,banglasarc3_binary,50,42,50,8,0.6281793712732939,0.6308470290771175,0.5468354430379747,1.509880781173706
target_only,banglasarc3_binary,50,1,50,8,0.6142543070711917,0.6144121365360303,0.6354430379746835,1.4437036514282227
target_only,banglasarc3_binary,50,7,50,8,0.5987591696581863,0.6055625790139064,0.4759493670886076,1.7212519645690918
target_only,banglasarc3_binary,100,42,100,8,0.7089827753890254,0.7092288242730721,0.739240506329114,2.7515876293182373
target_only,banglasarc3_binary,100,1,100,8,0.6598831985624438,0.661188369152971,0.6,3.3401565551757812
target_only,banglasarc3_binary,100,7,100,8,0.6690137796695765,0.6700379266750948,0.6151898734177215,3.6059226989746094
target_only,banglasarc3_binary,250,42,250,5,0.7065229894834394,0.7104930467762326,0.8278481012658228,5.132429361343384
target_only,banglasarc3_binary,250,1,250,5,0.7003486158464364,0.7003792667509482,0.6911392405063291,5.142972946166992
target_only,banglasarc3_binary,250,7,250,5,0.6707963947634406,0.672566371681416,0.6,4.862767696380615
