encoder,system,source,target,seed,in_domain,n_removed_all_source,n_eval_clean,test_macro_f1,test_accuracy,test_recall_class_1,train_seconds
xlm-roberta-base,vanilla,ben_sarc_binary,ben_sarc_binary,42,True,0,2563,0.7751606551094359,0.7756535310183379,0.8221528861154446,341.24493074417114
xlm-roberta-base,vanilla,ben_sarc_binary,banglasarc_binary,42,False,0,464,0.5006457167455876,0.5474137931034483,0.3373493975903614,341.24493074417114
xlm-roberta-base,vanilla,ben_sarc_binary,banglasarc3_binary,42,False,0,791,0.6379457141028103,0.638432364096081,0.6759493670886076,341.24493074417114
xlm-roberta-base,vanilla,ben_sarc_binary,ben_sarc_binary,1,True,0,2563,0.7715064189360633,0.7717518532969176,0.7386895475819033,407.31886076927185
xlm-roberta-base,vanilla,ben_sarc_binary,banglasarc_binary,1,False,0,464,0.4956853962189579,0.5732758620689655,0.25301204819277107,407.31886076927185
xlm-roberta-base,vanilla,ben_sarc_binary,banglasarc3_binary,1,False,0,791,0.643328342808911,0.6447534766118836,0.5822784810126582,407.31886076927185
xlm-roberta-base,vanilla,ben_sarc_binary,ben_sarc_binary,7,True,0,2563,0.778744559474025,0.778774873195474,0.7901716068642746,397.93808913230896
xlm-roberta-base,vanilla,ben_sarc_binary,banglasarc_binary,7,False,0,464,0.504221060872141,0.5646551724137931,0.30120481927710846,397.93808913230896
xlm-roberta-base,vanilla,ben_sarc_binary,banglasarc3_binary,7,False,0,791,0.6548473974857947,0.6548672566371682,0.6481012658227848,397.93808913230896
xlm-roberta-base,vanilla,ben_sarc_binary,ben_sarc_binary,123,True,0,2563,0.7727762118370496,0.7729223566133437,0.7472698907956318,348.58182168006897
xlm-roberta-base,vanilla,ben_sarc_binary,banglasarc_binary,123,False,0,464,0.5160617438464747,0.5905172413793104,0.27710843373493976,348.58182168006897
xlm-roberta-base,vanilla,ben_sarc_binary,banglasarc3_binary,123,False,0,791,0.6474049796682786,0.6485461441213654,0.5924050632911393,348.58182168006897
xlm-roberta-base,vanilla,ben_sarc_binary,ben_sarc_binary,2024,True,0,2563,0.7622395741699801,0.7623878267655092,0.7870514820592823,227.00537395477295
xlm-roberta-base,vanilla,ben_sarc_binary,banglasarc_binary,2024,False,0,464,0.5065512626763753,0.5495689655172413,0.35542168674698793,227.00537395477295
xlm-roberta-base,vanilla,ben_sarc_binary,banglasarc3_binary,2024,False,0,791,0.6530701754385965,0.6536030341340076,0.6936708860759494,227.00537395477295
xlm-roberta-base,vanilla,banglasarc_binary,ben_sarc_binary,42,False,0,2563,0.3438055245146315,0.49395239953179865,0.015600624024960999,106.02827501296997
xlm-roberta-base,vanilla,banglasarc_binary,banglasarc_binary,42,True,0,464,0.9390312929570632,0.9439655172413793,0.9216867469879518,106.02827501296997
xlm-roberta-base,vanilla,banglasarc_binary,banglasarc3_binary,42,False,29,762,0.3433607520564042,0.48031496062992124,0.023017902813299233,106.02827501296997
